"","nameFirst","nameLast","BAT_ID","RE24","PA","Runs.Start","RE24_risp","PA_risp","Runs_Start_risp","RE24_no_risp","PA_no_risp","Runs_Start_no_risp"
"172","Jaylin","Davis","davij008",-4.02683357318444,47,22.9369217010736,-2.54603410450093,10,9.8606127540385,-1.48079946868351,37,13.0763089470351
"173","Johnny","Davis","davij009",0.137078271478395,4,1.69239781703945,-0.3332378633825,1,0.3332378633825,0.470316134860895,3,1.35915995365695
"174","Khris","Davis","davik003",-10.8944489007336,533,286.395614440508,-5.99263645365047,154,137.309870758434,-4.9018124470831,379,149.085743682073
"175","Rajai","Davis","davir003",2.05507733010048,26,16.0077560876243,2.07836572468912,9,9.14576772223264,-0.0232883945886405,17,6.86198836539161
"176","Taylor","Davis","davit004",-0.155273674948256,20,9.54272006140861,0.900634190797462,6,5.62083455148792,-1.05590786574572,14,3.9218855099207
"177","Zach","Davies","daviz001",-10.0358282634941,55,31.156534961215,-4.80442687603332,16,14.8925550702328,-5.23140138746075,39,16.2639798909822
"178","Yonathan","Daza","dazay001",-8.7403476153605,105,52.6535552041824,-4.93597167068916,19,17.2198981233841,-3.80437594467134,86,35.4336570807983
"179","Austin","Dean","deana001",-5.66023936458998,189,89.7255065952551,1.34410433131477,36,31.1629157930198,-7.00434369590476,153,58.5625908022353
"180","Jacob","deGrom","degrj001",-4.78506547799606,70,32.9642001730664,-1.67538363529627,16,11.8011820747564,-3.10968184269979,54,21.1630180983099
"181","Paul","DeJong","dejop001",-11.273970490529,664,344.365461128449,-15.6185803214831,145,129.154985584807,4.34460983095409,519,215.210475543642
"182","Nick","Delmonico","delmn001",-1.62249924329549,68,34.3556599023888,4.43556975360744,15,12.2979254552343,-6.05806899690293,53,22.0577344471545
"183","Travis","Demeritte","demet001",-8.91041272343007,186,87.7991073511915,-6.45245253277228,38,29.22209357493,-2.45796019065779,148,58.5770137762615
"184","Anthony","DeSclafani","desca001",-11.4070608492621,57,23.5282503909541,-5.06715478742184,14,8.85902229462229,-6.33990606184021,43,14.6692280963318
"185","Daniel","Descalso","descd001",-13.6127006397762,194,95.4841017899341,-1.5404336135931,45,35.2541194638035,-12.0722670261831,149,60.2299823261306
"186","Delino","DeShields","deshd002",-7.95529486282723,408,206.330242793061,2.79519653023873,94,81.0513691403525,-10.750491393066,314,125.278873652709
"187","Ian","Desmond","desmi001",-3.76813322780815,482,259.024525836173,0.948151919009393,129,116.968285000594,-4.71628514681754,353,142.056240835579
"188","Rafael","Devers","dever001",48.4011982255902,702,364.507051766683,23.5352532896809,169,148.85078831901,24.8659449359093,533,215.656263447673
